scenario,algorithm,temperature,annealing,solved,iterations,cost,time
17,F-CBS (T=12.0),12.0,False,False,1024,inf,7.047508478164673
17,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,6.5165770053863525
17,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,6.480389356613159
17,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,6.40140438079834
17,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,6.916804552078247
17,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,8.513312578201294
18,CBS,,False,True,3,59.0,0.003077983856201172
18,F-CBS (T=1.0),1.0,False,True,3,59.0,0.0018553733825683594
18,F-CBS (T=2.0),2.0,False,True,3,59.0,0.0017888545989990234
18,F-CBS (T=5.0),5.0,False,True,3,59.0,0.001947641372680664
18,F-CBS (T=10.0),10.0,False,True,3,59.0,0.001800537109375
18,F-CBS (T=12.0),12.0,False,True,3,59.0,0.001775503158569336
18,F-CBS Anneal (T=1.0→0),1.0,True,True,3,59.0,0.0017592906951904297
18,F-CBS Anneal (T=2.0→0),2.0,True,True,3,59.0,0.001743316650390625
18,F-CBS Anneal (T=5.0→0),5.0,True,True,3,59.0,0.0017852783203125
18,F-CBS Anneal (T=10.0→0),10.0,True,True,3,59.0,0.0017309188842773438
18,F-CBS Anneal (T=12.0→0),12.0,True,True,3,59.0,0.0017325878143310547
19,CBS,,False,False,1024,inf,0.5428061485290527
19,F-CBS (T=1.0),1.0,False,True,5,68.0,0.002789735794067383
19,F-CBS (T=2.0),2.0,False,True,5,68.0,0.002814054489135742
19,F-CBS (T=5.0),5.0,False,True,5,68.0,0.003370523452758789
19,F-CBS (T=10.0),10.0,False,True,5,68.0,0.002920389175415039
19,F-CBS (T=12.0),12.0,False,True,5,68.0,0.002850055694580078
19,F-CBS Anneal (T=1.0→0),1.0,True,True,5,68.0,0.002785921096801758
19,F-CBS Anneal (T=2.0→0),2.0,True,True,5,68.0,0.002820730209350586
19,F-CBS Anneal (T=5.0→0),5.0,True,True,5,68.0,0.0028066635131835938
19,F-CBS Anneal (T=10.0→0),10.0,True,True,5,68.0,0.003665447235107422
19,F-CBS Anneal (T=12.0→0),12.0,True,True,5,68.0,0.003766298294067383
20,CBS,,False,False,1024,inf,0.660703182220459
20,F-CBS (T=1.0),1.0,False,False,1024,inf,0.6890549659729004
20,F-CBS (T=2.0),2.0,False,False,1024,inf,0.7194299697875977
20,F-CBS (T=5.0),5.0,False,False,1024,inf,0.6893868446350098
20,F-CBS (T=10.0),10.0,False,False,1024,inf,0.7040615081787109
20,F-CBS (T=12.0),12.0,False,False,1024,inf,0.7065088748931885
20,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.7273135185241699
20,F-CBS Anneal (T=2.0→0),2.0,True,True,93,104.0,0.11991071701049805
20,F-CBS Anneal (T=5.0→0),5.0,True,True,93,104.0,0.11606025695800781
