scenario,algorithm,temperature,solved,iterations,cost,time
25,F-CBS (T=0.5),0.5,False,1024,inf,0.6922261714935303
25,F-CBS (T=1.0),1.0,False,1024,inf,0.7065463066101074
25,CBS,,True,22,89.0,0.014285087585449219
26,F-CBS (T=0.1),0.1,False,1024,inf,1.789015769958496
26,F-CBS (T=0.2),0.2,False,1024,inf,1.7544527053833008
26,F-CBS (T=0.5),0.5,False,1024,inf,1.77178955078125
26,F-CBS (T=1.0),1.0,False,1024,inf,1.774388074874878
26,CBS,,False,1024,inf,1.5008347034454346
27,F-CBS (T=0.1),0.1,False,1024,inf,0.8609931468963623
27,F-CBS (T=0.2),0.2,False,1024,inf,0.788581132888794
27,F-CBS (T=0.5),0.5,False,1024,inf,0.8035478591918945
27,F-CBS (T=1.0),1.0,False,1024,inf,0.7853908538818359
27,CBS,,False,1024,inf,0.509192705154419
28,F-CBS (T=0.1),0.1,False,1024,inf,6.912612676620483
28,F-CBS (T=0.2),0.2,False,1024,inf,6.924022197723389
28,F-CBS (T=0.5),0.5,False,1024,inf,6.866804122924805
28,F-CBS (T=1.0),1.0,False,1024,inf,6.907434463500977
28,CBS,,False,1024,inf,9.325014114379883
29,F-CBS (T=0.1),0.1,False,1024,inf,0.7530078887939453
29,F-CBS (T=0.2),0.2,False,1024,inf,0.7597024440765381
29,F-CBS (T=0.5),0.5,False,1024,inf,0.7596919536590576
29,F-CBS (T=1.0),1.0,False,1024,inf,0.7539989948272705
29,CBS,,False,1024,inf,0.6429057121276855
