scenario,algorithm,temperature,annealing,solved,iterations,cost,time
10,F-CBS (T=12.0),12.0,False,False,1024,inf,0.6512331962585449
10,F-CBS Anneal (T=1.0→0),1.0,True,True,19,74.0,0.01029515266418457
10,F-CBS Anneal (T=2.0→0),2.0,True,True,19,74.0,0.011060237884521484
10,F-CBS Anneal (T=5.0→0),5.0,True,True,19,74.0,0.01240682601928711
10,F-CBS Anneal (T=10.0→0),10.0,True,True,19,74.0,0.01037740707397461
10,F-CBS Anneal (T=12.0→0),12.0,True,True,19,74.0,0.012884140014648438
11,CBS,,False,True,1,64.0,0.0010056495666503906
11,F-CBS (T=1.0),1.0,False,True,1,64.0,0.0008494853973388672
11,F-CBS (T=2.0),2.0,False,True,1,64.0,0.0008435249328613281
11,F-CBS (T=5.0),5.0,False,True,1,64.0,0.0008630752563476562
11,F-CBS (T=10.0),10.0,False,True,1,64.0,0.0009274482727050781
11,F-CBS (T=12.0),12.0,False,True,1,64.0,0.0009746551513671875
11,F-CBS Anneal (T=1.0→0),1.0,True,True,1,64.0,0.0010538101196289062
11,F-CBS Anneal (T=2.0→0),2.0,True,True,1,64.0,0.0010440349578857422
11,F-CBS Anneal (T=5.0→0),5.0,True,True,1,64.0,0.000978231430053711
11,F-CBS Anneal (T=10.0→0),10.0,True,True,1,64.0,0.0009720325469970703
11,F-CBS Anneal (T=12.0→0),12.0,True,True,1,64.0,0.0009737014770507812
12,CBS,,False,False,1024,inf,0.5796561241149902
12,F-CBS (T=1.0),1.0,False,False,1024,inf,0.6465754508972168
12,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6624131202697754
12,F-CBS (T=5.0),5.0,False,False,1024,inf,0.8559844493865967
12,F-CBS (T=10.0),10.0,False,False,1024,inf,0.5621581077575684
12,F-CBS (T=12.0),12.0,False,False,1024,inf,1.0044395923614502
12,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.8636627197265625
12,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.8659532070159912
12,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.7012028694152832
12,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.9217917919158936
12,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.9497921466827393
13,CBS,,False,True,8,59.0,0.0044422149658203125
13,F-CBS (T=1.0),1.0,False,True,8,59.0,0.004961729049682617
13,F-CBS (T=2.0),2.0,False,True,4,60.0,0.003892183303833008
13,F-CBS (T=5.0),5.0,False,True,4,60.0,0.00481867790222168
13,F-CBS (T=10.0),10.0,False,True,4,60.0,0.004362344741821289
13,F-CBS (T=12.0),12.0,False,True,4,60.0,0.004053354263305664
13,F-CBS Anneal (T=1.0→0),1.0,True,True,8,59.0,0.007418155670166016
13,F-CBS Anneal (T=2.0→0),2.0,True,True,4,60.0,0.0022554397583007812
13,F-CBS Anneal (T=5.0→0),5.0,True,True,4,60.0,0.002424478530883789
13,F-CBS Anneal (T=10.0→0),10.0,True,True,4,60.0,0.002910137176513672
13,F-CBS Anneal (T=12.0→0),12.0,True,True,4,60.0,0.0033059120178222656
14,CBS,,False,True,36,102.0,0.04400277137756348
14,F-CBS (T=1.0),1.0,False,False,1024,inf,1.3040666580200195
14,F-CBS (T=2.0),2.0,False,False,1024,inf,1.063713550567627
14,F-CBS (T=5.0),5.0,False,False,1024,inf,0.8891494274139404
14,F-CBS (T=10.0),10.0,False,False,1024,inf,0.8869376182556152
14,F-CBS (T=12.0),12.0,False,False,1024,inf,0.9259757995605469
14,F-CBS Anneal (T=1.0→0),1.0,True,True,9,102.0,0.007985830307006836
14,F-CBS Anneal (T=2.0→0),2.0,True,True,9,102.0,0.00899648666381836
14,F-CBS Anneal (T=5.0→0),5.0,True,True,9,102.0,0.009411811828613281
14,F-CBS Anneal (T=10.0→0),10.0,True,True,9,102.0,0.009987115859985352
14,F-CBS Anneal (T=12.0→0),12.0,True,True,9,102.0,0.0074117183685302734
15,CBS,,False,True,6,77.0,0.006161212921142578
15,F-CBS (T=1.0),1.0,False,True,6,77.0,0.005183696746826172
15,F-CBS (T=2.0),2.0,False,True,6,77.0,0.004050493240356445
15,F-CBS (T=5.0),5.0,False,True,6,77.0,0.005012989044189453
15,F-CBS (T=10.0),10.0,False,True,6,77.0,0.003786802291870117
15,F-CBS (T=12.0),12.0,False,True,6,77.0,0.0039484500885009766
15,F-CBS Anneal (T=1.0→0),1.0,True,True,6,77.0,0.0034182071685791016
15,F-CBS Anneal (T=2.0→0),2.0,True,True,6,77.0,0.004904747009277344
15,F-CBS Anneal (T=5.0→0),5.0,True,True,6,77.0,0.004467964172363281
15,F-CBS Anneal (T=10.0→0),10.0,True,True,6,77.0,0.0037071704864501953
15,F-CBS Anneal (T=12.0→0),12.0,True,True,6,77.0,0.004002809524536133
16,CBS,,False,False,1024,inf,0.5176193714141846
16,F-CBS (T=1.0),1.0,False,False,1024,inf,0.7218308448791504
16,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6417524814605713
16,F-CBS (T=5.0),5.0,False,False,1024,inf,0.6890695095062256
16,F-CBS (T=10.0),10.0,False,False,1024,inf,0.7489879131317139
16,F-CBS (T=12.0),12.0,False,False,1024,inf,0.853485107421875
16,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.5065319538116455
16,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.560481071472168
16,F-CBS Anneal (T=5.0→0),5.0,True,True,19,87.0,0.014173269271850586
16,F-CBS Anneal (T=10.0→0),10.0,True,True,14,87.0,0.010664224624633789
16,F-CBS Anneal (T=12.0→0),12.0,True,True,14,87.0,0.012902259826660156
17,CBS,,False,False,1024,inf,9.308956623077393
17,F-CBS (T=1.0),1.0,False,False,1024,inf,9.002399444580078
17,F-CBS (T=2.0),2.0,False,False,1024,inf,7.85643196105957
17,F-CBS (T=5.0),5.0,False,False,1024,inf,9.447866201400757
17,F-CBS (T=10.0),10.0,False,False,1024,inf,9.205937147140503
17,F-CBS (T=12.0),12.0,False,False,1024,inf,9.217247486114502
17,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,8.007556200027466
17,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,8.339439868927002
17,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,8.213561058044434
17,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,8.29059386253357
17,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,9.986141443252563
18,CBS,,False,True,3,59.0,0.0023064613342285156
18,F-CBS (T=1.0),1.0,False,True,3,59.0,0.002445697784423828
18,F-CBS (T=2.0),2.0,False,True,3,59.0,0.0021209716796875
18,F-CBS (T=5.0),5.0,False,True,3,59.0,0.0021262168884277344
18,F-CBS (T=10.0),10.0,False,True,3,59.0,0.0025110244750976562
18,F-CBS (T=12.0),12.0,False,True,3,59.0,0.0027360916137695312
18,F-CBS Anneal (T=1.0→0),1.0,True,True,3,59.0,0.0024149417877197266
18,F-CBS Anneal (T=2.0→0),2.0,True,True,3,59.0,0.0020265579223632812
18,F-CBS Anneal (T=5.0→0),5.0,True,True,3,59.0,0.0018358230590820312
18,F-CBS Anneal (T=10.0→0),10.0,True,True,3,59.0,0.0017778873443603516
18,F-CBS Anneal (T=12.0→0),12.0,True,True,3,59.0,0.0018887519836425781
19,CBS,,False,False,1024,inf,0.6347699165344238
19,F-CBS (T=1.0),1.0,False,True,5,68.0,0.003706216812133789
19,F-CBS (T=2.0),2.0,False,True,5,68.0,0.0038988590240478516
19,F-CBS (T=5.0),5.0,False,True,5,68.0,0.0037882328033447266
19,F-CBS (T=10.0),10.0,False,True,5,68.0,0.0039052963256835938
19,F-CBS (T=12.0),12.0,False,True,5,68.0,0.004228830337524414
19,F-CBS Anneal (T=1.0→0),1.0,True,True,5,68.0,0.003283977508544922
19,F-CBS Anneal (T=2.0→0),2.0,True,True,5,68.0,0.0033957958221435547
19,F-CBS Anneal (T=5.0→0),5.0,True,True,5,68.0,0.003535032272338867
19,F-CBS Anneal (T=10.0→0),10.0,True,True,5,68.0,0.003949880599975586
19,F-CBS Anneal (T=12.0→0),12.0,True,True,5,68.0,0.002920866012573242
20,CBS,,False,False,1024,inf,0.8152940273284912
20,F-CBS (T=1.0),1.0,False,False,1024,inf,0.8679544925689697
20,F-CBS (T=2.0),2.0,False,False,1024,inf,0.8501901626586914
20,F-CBS (T=5.0),5.0,False,False,1024,inf,0.883854866027832
20,F-CBS (T=10.0),10.0,False,False,1024,inf,0.8727264404296875
20,F-CBS (T=12.0),12.0,False,False,1024,inf,0.7965703010559082
20,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.8567652702331543
20,F-CBS Anneal (T=2.0→0),2.0,True,True,93,104.0,0.12350702285766602
20,F-CBS Anneal (T=5.0→0),5.0,True,True,93,104.0,0.12766265869140625
20,F-CBS Anneal (T=10.0→0),10.0,True,True,93,104.0,0.1267857551574707
20,F-CBS Anneal (T=12.0→0),12.0,True,True,93,104.0,0.1333298683166504
21,CBS,,False,True,9,89.0,0.009124040603637695
21,F-CBS (T=1.0),1.0,False,True,5,89.0,0.006319999694824219
21,F-CBS (T=2.0),2.0,False,True,5,89.0,0.0062253475189208984
21,F-CBS (T=5.0),5.0,False,True,5,89.0,0.006705522537231445
21,F-CBS (T=10.0),10.0,False,True,5,89.0,0.006585359573364258
21,F-CBS (T=12.0),12.0,False,True,5,89.0,0.0060193538665771484
21,F-CBS Anneal (T=1.0→0),1.0,True,True,5,89.0,0.007487773895263672
21,F-CBS Anneal (T=2.0→0),2.0,True,True,5,89.0,0.0064966678619384766
21,F-CBS Anneal (T=5.0→0),5.0,True,True,5,89.0,0.004437446594238281
21,F-CBS Anneal (T=10.0→0),10.0,True,True,5,89.0,0.005494594573974609
21,F-CBS Anneal (T=12.0→0),12.0,True,True,5,89.0,0.0055234432220458984
22,CBS,,False,False,1024,inf,1.046926736831665
22,F-CBS (T=1.0),1.0,False,False,1024,inf,1.2006340026855469
22,F-CBS (T=2.0),2.0,False,False,1024,inf,0.9543969631195068
